METHOD	ROUTE	FILE:LINE	HANDLER	PERMISSIONS	GUARDS	PUBLIC
POST	/api/v1/meetings/:meetingId/cancel	src/modules/meetings/controllers/meetings.controller.ts:579	cancelMeeting	meeting.cancel.own	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/cancellation-notifications	src/modules/notifications/notifications.controller.ts:96	resendCancellation	notification.cancellation.send	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/extension-requests	src/modules/live-meeting/controllers/live-meeting.controller.ts:120	requestExtension	meeting.extension.request.own	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/invitations	src/modules/notifications/notifications.controller.ts:56	sendInvitation	notification.invite.send	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings/:meetingId/media-files	src/modules/recording/controllers/media-files.controller.ts:34	list	recording.files.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/minutes	src/modules/minutes/controllers/minutes.controller.ts:35	createDraftMinutes	meeting.minutes.create	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings/:meetingId/minutes/ai-draft-config	src/modules/minutes/controllers/minutes-ai-draft.controller.ts:146	getAiDraftConfig		JwtAuthGuard	
GET	/api/v1/meetings/:meetingId/minutes/ai-draft-jobs	src/modules/minutes/controllers/minutes-ai-draft.controller.ts:105	listAiDraftJobs		JwtAuthGuard	
POST	/api/v1/meetings/:meetingId/minutes/ai-draft-jobs	src/modules/minutes/controllers/minutes-ai-draft.controller.ts:39	createAiDraftJob	AI_MINUTES_PERMISSION_CREATE	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/minutes/distributions	src/modules/notifications/notifications.controller.ts:117	distributeMinutes	minutes.distribute	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings/:meetingId/notes	src/modules/live-meeting/controllers/live-meeting.controller.ts:624	listNotes	meeting.note.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/notes	src/modules/live-meeting/controllers/live-meeting.controller.ts:564	createNote	meeting.note.create	JwtAuthGuard,PermissionsGuard	
DELETE	/api/v1/meetings/:meetingId/participants/:participantUserId	src/modules/meetings/controllers/meetings.controller.ts:897	removeParticipant		JwtAuthGuard	
POST	/api/v1/meetings/:meetingId/participants/external	src/modules/meetings/controllers/meetings.controller.ts:950	addExternalParticipant	meeting.participant.add.external	JwtAuthGuard,PermissionsGuard	
DELETE	/api/v1/meetings/:meetingId/participants/external/:externalParticipantId	src/modules/meetings/controllers/meetings.controller.ts:986	removeExternalParticipant		JwtAuthGuard	
POST	/api/v1/meetings/:meetingId/participants/import	src/modules/meetings/controllers/meetings.controller.ts:467	importParticipants	meeting.participant.import	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings/:meetingId/participants/import/template	src/modules/meetings/controllers/meetings.controller.ts:443	downloadImportTemplate	meeting.participant.import	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/participants/internal	src/modules/meetings/controllers/meetings.controller.ts:392	addInternalParticipant	meeting.participant.add.internal	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings/:meetingId/recording-config	src/modules/recording/controllers/recording-config.controller.ts:58	findOne	recording.config.read	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/meetings/:meetingId/recording-config	src/modules/recording/controllers/recording-config.controller.ts:72	update	recording.config.update	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/recording-config	src/modules/recording/controllers/recording-config.controller.ts:29	create	recording.config.create	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings/:meetingId/recording-sessions	src/modules/recording/controllers/recording-session.controller.ts:184	listRecordingSessions	transcript.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/recording-sessions	src/modules/recording/controllers/recording-session.controller.ts:156	createAudioSession	transcript.create	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/recording-sessions/:sessionId/audio-tracks	src/modules/recording/controllers/recording-session.controller.ts:205	uploadAudioTrack	recording.upload_track	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/recording-sessions/audio-upload	src/modules/recording/controllers/recording-session.controller.ts:126	uploadAudio	transcript.create	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/reminders	src/modules/notifications/notifications.controller.ts:76	sendReminder	notification.reminder.send	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/meetings/:meetingId/room	src/modules/meetings/controllers/meetings.controller.ts:528	updateMeetingRoom	meeting.room.update	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/meetings/:meetingId/time	src/modules/meetings/controllers/meetings.controller.ts:192	updateMeetingTime	meeting.time.update	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings/:meetingId/timeline	src/modules/live-meeting/controllers/live-meeting.controller.ts:746	getMeetingTimeline	meeting.timeline.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings/:meetingId/transcript	src/modules/transcription/transcription.controller.ts:102	getTranscript	transcript.read	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/meetings/:meetingId/transcription-jobs	src/modules/transcription/transcription.controller.ts:78	getTranscriptionJobs	transcript.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/meetings/:meetingId/transcription-jobs	src/modules/transcription/transcription.controller.ts:41	createJob	transcript.create	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/no-show-cases	src/modules/rooms/controllers/no-show.controller.ts:59	list	room.noshow.read	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/no-show-cases/:id	src/modules/rooms/controllers/no-show.controller.ts:74	update	room.noshow.update	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/no-show-cases/:id/release	src/modules/rooms/controllers/no-show.controller.ts:95	release	room.noshow.release	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/no-show-config	src/modules/rooms/controllers/no-show-config.controller.ts:27	get	room.noshow.configure	JwtAuthGuard,PermissionsGuard	
PUT	/api/v1/no-show-config	src/modules/rooms/controllers/no-show-config.controller.ts:35	update	room.noshow.configure	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/notifications	src/modules/notifications/notifications.controller.ts:138	listMyNotifications	notification.read.self	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/notifications/:id	src/modules/notifications/notifications.controller.ts:155	getNotificationDetail	notification.read.self	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/notifications/:id/read	src/modules/notifications/notifications.controller.ts:179	markNotificationRead	notification.update.self	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/notifications/read-all	src/modules/notifications/notifications.controller.ts:171	markAllNotificationsRead	notification.update.self	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/permissions	src/modules/accounts/controllers/permissions.controller.ts:28	findAll	admin.manage_permissions,permission.read	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
POST	/api/v1/permissions	src/modules/accounts/controllers/permissions.controller.ts:58	create	admin.manage_permissions	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/permissions/:id	src/modules/accounts/controllers/permissions.controller.ts:47	findOne	admin.manage_permissions,permission.read	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/permissions/:id	src/modules/accounts/controllers/permissions.controller.ts:81	update	admin.manage_permissions	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/permissions/:id/toggle-active	src/modules/accounts/controllers/permissions.controller.ts:117	toggleActive	admin.manage_permissions	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/person-control-list	src/modules/alerts/controllers/person-control-list.controller.ts:60	list	person_control_list.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/person-control-list	src/modules/alerts/controllers/person-control-list.controller.ts:44	create	person_control_list.create	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
DELETE	/api/v1/person-control-list/:id	src/modules/alerts/controllers/person-control-list.controller.ts:99	remove	person_control_list.delete	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/person-control-list/:id	src/modules/alerts/controllers/person-control-list.controller.ts:73	detail	person_control_list.read	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/person-control-list/:id	src/modules/alerts/controllers/person-control-list.controller.ts:84	update	person_control_list.update	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/reports/gate-access/exports	src/modules/reports/controllers/gate-access-report.controller.ts:31	createExport	report.gate_access.export	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
POST	/api/v1/reports/meeting-activity/exports	src/modules/reports/controllers/meeting-activity-report.controller.ts:38	createExport	report.meeting_activity.export	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
POST	/api/v1/reports/room-utilization/exports	src/modules/reports/controllers/room-utilization-report.controller.ts:38	createExport	report.room_utilization.export	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
POST	/api/v1/reports/security-alert/exports	src/modules/reports/controllers/security-alert-report.controller.ts:31	createExport	report.security_alert.export	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
POST	/api/v1/reports/vehicle/exports	src/modules/reports/controllers/vehicle-report.controller.ts:29	createExport	report.vehicle.export	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
GET	/api/v1/roles	src/modules/accounts/controllers/roles.controller.ts:30	findAll	account.role.read	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
POST	/api/v1/roles	src/modules/accounts/controllers/roles.controller.ts:60	create	account.role.create	JwtAuthGuard,PermissionsGuard	
DELETE	/api/v1/roles/:id	src/modules/accounts/controllers/roles.controller.ts:129	remove	account.role.delete	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/roles/:id	src/modules/accounts/controllers/roles.controller.ts:49	findOne	account.role.read	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/roles/:id	src/modules/accounts/controllers/roles.controller.ts:83	update	account.role.update	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/roles/:roleId/permissions	src/modules/accounts/controllers/role-permissions.controller.ts:27	findByRole	admin.manage_permissions	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
POST	/api/v1/roles/:roleId/permissions	src/modules/accounts/controllers/role-permissions.controller.ts:38	assign	admin.manage_permissions	JwtAuthGuard,PermissionsGuard	
DELETE	/api/v1/roles/:roleId/permissions/:permissionId	src/modules/accounts/controllers/role-permissions.controller.ts:70	revoke	admin.manage_permissions	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/room-bookings	src/modules/rooms/controllers/room-bookings.controller.ts:39	findAll	room.booking.read	JwtAuthGuard|JwtAuthGuard|PermissionsGuard	
POST	/api/v1/room-camera/occupancy-snapshots	src/modules/presence/controllers/room-camera.controller.ts:16	occupancySnapshot			
POST	/api/v1/rooms	src/modules/rooms/controllers/rooms.controller.ts:84	create	room.create	JwtAuthGuard|PermissionsGuard	
DELETE	/api/v1/rooms/:roomId	src/modules/rooms/controllers/rooms.controller.ts:205	deleteRoom	room.delete	JwtAuthGuard|PermissionsGuard	
PATCH	/api/v1/rooms/:roomId	src/modules/rooms/controllers/rooms.controller.ts:128	update	room.update	JwtAuthGuard|PermissionsGuard	
GET	/api/v1/rooms/:roomId/deletion-impact	src/modules/rooms/controllers/rooms.controller.ts:177	deletionImpact	room.delete	JwtAuthGuard|PermissionsGuard	
GET	/api/v1/rooms/:roomId/status	src/modules/rooms/controllers/rooms.controller.ts:253	roomStatus	room.utilization.read	JwtAuthGuard|PermissionsGuard	
GET	/api/v1/rooms/available	src/modules/meetings/controllers/meetings.controller.ts:660	getAvailableRooms		JwtAuthGuard	
GET	/api/v1/rooms/realtime-status	src/modules/rooms/controllers/rooms.controller.ts:238	realtimeStatus	room.utilization.read	JwtAuthGuard|PermissionsGuard	
GET	/api/v1/rooms/search	src/modules/rooms/controllers/rooms.controller.ts:60	search		JwtAuthGuard|JwtAuthGuard	
POST	/api/v1/scheduling/participant-conflicts/check	src/modules/scheduling/scheduling.controller.ts:91	checkParticipantConflicts	scheduling.conflict.participant.check	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/scheduling/room-suggestions	src/modules/scheduling/scheduling.controller.ts:42	getRoomSuggestions	scheduling.suggest.rooms	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/scheduling/time-suggestions	src/modules/scheduling/scheduling.controller.ts:133	suggestTimeSlots	scheduling.suggest.times	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/search	src/modules/search/controllers/search.controller.ts:29	search		JwtAuthGuard	
GET	/api/v1/security-alerts	src/modules/alerts/controllers/alerts.controller.ts:40	list	security_alert.read	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
GET	/api/v1/security-alerts/:id	src/modules/alerts/controllers/alerts.controller.ts:53	detail	security_alert.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/security-alerts/:id/acknowledge	src/modules/alerts/controllers/alerts.controller.ts:68	acknowledge	security_alert.acknowledge	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/security-alerts/:id/resolve	src/modules/alerts/controllers/alerts.controller.ts:82	resolve	security_alert.resolve	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/security-alerts/bulk-acknowledge	src/modules/alerts/controllers/alerts.controller.ts:98	bulkAcknowledge	security_alert.acknowledge	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/sf/:deviceCode/:callbackToken	src/modules/iot/controllers/stranger-short-device-callbacks.controller.ts:9	handleStrangerGet			
POST	/api/v1/sf/:deviceCode/:callbackToken	src/modules/iot/controllers/stranger-short-device-callbacks.controller.ts:14	handleStrangerPost			
GET	/api/v1/system-configurations	src/modules/administration/controllers/system-config.controller.ts:50	list	admin.manage_config	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/system-configurations	src/modules/administration/controllers/system-config.controller.ts:75	update	'admin.manage_config'(class)	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/transcripts/:transcriptId/content	src/modules/transcription/transcript-segments.controller.ts:78	updateContent	transcript.update	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/transcripts/:transcriptId/segments	src/modules/transcription/transcript-segments.controller.ts:43	updateSegments	transcript.update	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/transcripts/:transcriptId/status	src/modules/transcription/transcript-segments.controller.ts:115	updateStatus	transcript.update	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/users	src/modules/accounts/controllers/users.controller.ts:652	listUsers	accounts.user.list	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/users	src/modules/accounts/controllers/users.controller.ts:74	createUser	accounts.user.create	JwtAuthGuard,PermissionsGuard	
DELETE	/api/v1/users/:userId	src/modules/accounts/controllers/users.controller.ts:592	deleteUser	accounts.user.delete	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/users/:userId	src/modules/accounts/controllers/users.controller.ts:797	getUserDetail	account.user.read.detail	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/users/:userId	src/modules/accounts/controllers/users.controller.ts:517	updateUser	accounts.user.update	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/users/:userId/face-profile	src/modules/accounts/controllers/face-profile.controller.ts:34	enroll		JwtAuthGuard,MockPermissionsGuard	
PATCH	/api/v1/users/:userId/lock	src/modules/accounts/controllers/users.controller.ts:375	lockUser	accounts.user.lock	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/users/:userId/public-profile	src/modules/accounts/controllers/users.controller.ts:865	getPublicProfile		JwtAuthGuard	
PUT	/api/v1/users/:userId/roles	src/modules/accounts/controllers/users.controller.ts:219	updateUserRoles	accounts.user.update_roles	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/users/:userId/status	src/modules/accounts/controllers/users.controller.ts:297	updateUserStatus	accounts.user.update_status	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/users/:userId/unlock	src/modules/accounts/controllers/users.controller.ts:451	unlockUser	accounts.user.unlock	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/users/export	src/modules/accounts/controllers/users.controller.ts:752	exportUsers	accounts.user.export	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/users/import	src/modules/accounts/controllers/users.controller.ts:148	importAccounts	accounts.user.import	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/users/import/template	src/modules/accounts/controllers/users.controller.ts:129	downloadImportTemplate	accounts.user.import	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/users/manage	src/modules/accounts/controllers/users.controller.ts:696	listUsersForManagement	accounts.user.manage	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/vf/:deviceCode/:callbackToken	src/modules/iot/controllers/verify-short-device-callbacks.controller.ts:22	handleVerifyGetWithParams			
POST	/api/v1/vf/:deviceCode/:callbackToken	src/modules/iot/controllers/verify-short-device-callbacks.controller.ts:28	handleVerifyPostWithParams			
GET	/api/v1/zones	src/modules/zones/controllers/zones.controller.ts:56	list	zones.zone.read	JwtAuthGuard,PermissionsGuard	
POST	/api/v1/zones	src/modules/zones/controllers/zones.controller.ts:85	create	zones.zone.create	JwtAuthGuard,PermissionsGuard	
DELETE	/api/v1/zones/:id	src/modules/zones/controllers/zones.controller.ts:192	remove	zones.zone.delete	JwtAuthGuard,PermissionsGuard	
GET	/api/v1/zones/:id	src/modules/zones/controllers/zones.controller.ts:72	detail	zones.zone.read	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/zones/:id	src/modules/zones/controllers/zones.controller.ts:170	update	zones.zone.update	JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/zones/:id/devices	src/modules/zones/controllers/zones.controller.ts:113	assignDevices	zones.zone.assign_device	JwtAuthGuard,PermissionsGuard	
DELETE	/api/v1/zones/:id/devices/:deviceId	src/modules/zones/controllers/zones.controller.ts:142	unassignDevice	zones.zone.assign_device	JwtAuthGuard,PermissionsGuard	
