METHOD	ROUTE	FILE:LINE	HANDLER	PERMISSIONS	GUARDS	PUBLIC
GET	/api/v1/anpr/vehicle-history	src/modules/anpr/controllers/vehicle-registration.controller.ts:57	historyOwn		JwtAuthGuard	
GET	/api/v1/anpr/vehicle-registrations	src/modules/anpr/controllers/vehicle-registration.controller.ts:132	list		JwtAuthGuard	
POST	/api/v1/anpr/vehicle-registrations	src/modules/anpr/controllers/vehicle-registration.controller.ts:170	registerOwn		JwtAuthGuard	
DELETE	/api/v1/anpr/vehicle-registrations/:id	src/modules/anpr/controllers/vehicle-registration.controller.ts:252	remove		JwtAuthGuard	
GET	/api/v1/anpr/vehicle-registrations/:id	src/modules/anpr/controllers/vehicle-registration.controller.ts:152	detail		JwtAuthGuard	
PATCH	/api/v1/anpr/vehicle-registrations/:id	src/modules/anpr/controllers/vehicle-registration.controller.ts:210	update		JwtAuthGuard	
PATCH	/api/v1/anpr/vehicle-registrations/:id/status	src/modules/anpr/controllers/vehicle-registration.controller.ts:231	updateStatus		JwtAuthGuard	
GET	/api/v1/audit-logs	src/modules/administration/controllers/audit-logs.controller.ts:45	listAuditLogs	audit.system.read	JwtAuthGuard,PermissionsGuard|JwtAuthGuard,PermissionsGuard	
PATCH	/api/v1/auth/change-password	src/modules/auth/controllers/auth.controller.ts:245	changePassword		JwtAuthGuard	
POST	/api/v1/auth/login	src/modules/auth/controllers/auth.controller.ts:57	login			
POST	/api/v1/auth/logout	src/modules/auth/controllers/auth.controller.ts:137	logout		JwtAuthGuard	
GET	/api/v1/auth/me	src/modules/auth/controllers/auth.controller.ts:299	getMe		JwtAuthGuard	
POST	/api/v1/auth/password-reset/confirm	src/modules/auth/controllers/auth.controller.ts:214	confirmReset			
POST	/api/v1/auth/password-reset/request	src/modules/auth/controllers/auth.controller.ts:182	requestOtp			
POST	/api/v1/auth/refresh	src/modules/auth/controllers/auth.controller.ts:95	refresh			
GET	/api/v1/background-jobs/:id	src/modules/administration/controllers/background-jobs.controller.ts:41	getStatus		JwtAuthGuard	
