METHOD	PATH	FILE:LINE	FUNC	QS
GET	/face-access/stranger-alerts	src/service/businessAdminServices.js:207	query	QS
GET	/face-access/unmapped-verifies	src/service/sysAdminServices.js:459	query	QS
POST	/face-access/unmapped-verifies/map	src/service/sysAdminServices.js:467	mapUnmappedVerify	
GET	/gate-access/admin/history	src/service/sysAdminServices.js:398	query	QS
GET	/gate-access/admin/history/:param	src/service/sysAdminServices.js:405	getAdminGateAccessHistoryDetail	
GET	/gate-access/admin/vehicle-traffic-stats	src/service/sysAdminServices.js:413	query	QS
GET	/iot-devices	src/service/employeeServices.js:272	getRoomDevices	QS
GET	/iot-devices	src/service/managerServices.js:356	getRoomDevices	QS
GET	/iot-devices	src/service/sysAdminServices.js:183	query	QS
POST	/iot-devices	src/service/sysAdminServices.js:201	registerDevice	
GET	/iot-devices/:param	src/service/sysAdminServices.js:192	getDeviceById	
PATCH	/iot-devices/:param	src/service/sysAdminServices.js:211	updateDevice	
POST	/iot-devices/:param/assign-room	src/service/sysAdminServices.js:422	assignDeviceRoom	
POST	/iot-devices/:param/check-availability	src/service/sysAdminServices.js:446	checkDeviceAvailability	
POST	/iot-devices/:param/disable	src/service/sysAdminServices.js:438	disableDevice	
POST	/iot-devices/:param/enable	src/service/sysAdminServices.js:442	enableDevice	
POST	/iot-devices/:param/face-server/revoke	src/service/sysAdminServices.js:434	revokeFaceServerToken	
POST	/iot-devices/:param/face-server/rotate	src/service/sysAdminServices.js:430	rotateFaceServerToken	
PATCH	/iot-devices/:param/rtsp-config	src/service/sysAdminServices.js:426	configDeviceRtsp	
GET	/ivss/meetings/:param/presence	src/service/managerServices.js:182	getMeetingPresence	
GET	/ivss/meetings/:param/presence/:param	src/service/managerServices.js:186	getUserPresence	
GET	/ivss/meetings/:param/presence/report	src/service/managerServices.js:190	getMeetingPresenceReport	
GET	/ivss/rooms/:param/access-log	src/service/sysAdminServices.js:570	getRoomAccessLog	QS
POST	/live-meetings/:param/end	src/service/employeeServices.js:223	endMeeting	
POST	/live-meetings/:param/end	src/service/managerServices.js:282	endMeeting	
